,protein_name,compound_name,pocket_name,pocket_com,affinity
0,1nc3,1nc3,protein_center,"57.389,45.446,34.462",4.9601073
1,1nc3,1nc3,pocket_1,"43.418,44.945,27.577",4.519373
2,1nc3,1nc3,pocket_2,"59.085,37.123,21.816",6.628948
3,1nc3,1nc3,pocket_3,"46.953,53.862,42.103",5.6039476
4,1nc3,1nc3,pocket_4,"59.286,56.174,38.776",2.5024364
5,1nc3,1nc3,pocket_5,"62.066,34.984,33.457",4.030979
6,1nc3,1nc3,pocket_6,"56.407,32.218,45.284",0.036435843
7,1nc3,1nc3,pocket_7,"33.552,53.437,48.099",3.263929
8,3nx7,3nx7,protein_center,"-3.556,0.158,-13.603",8.282718
9,3nx7,3nx7,pocket_1,"-1.993,-0.907,-4.43",8.192429
10,3nx7,3nx7,pocket_2,"8.823,6.519,-12.663",5.093997
11,3nx7,3nx7,pocket_3,"-6.049,-8.635,-22.238",7.2659826
12,2qnq,2qnq,protein_center,"-13.351,16.551,-3.705",8.33331
13,2qnq,2qnq,pocket_1,"-16.082,20.987,-5.73",8.350154
14,2qnq,2qnq,pocket_2,"-12.552,27.856,18.0",2.5703735
15,2qnq,2qnq,pocket_3,"-3.173,27.17,6.532",3.7417293
16,2qnq,2qnq,pocket_4,"-14.133,8.762,10.575",2.3346345
17,1syi,1syi,protein_center,"19.954,13.365,73.595",1.1591815
18,1syi,1syi,pocket_1,"19.417,28.98,73.574",1.8597555
19,1syi,1syi,pocket_2,"19.805,12.111,57.584",6.7200413
20,1syi,1syi,pocket_3,"20.0,12.267,89.694",6.8710537
21,1syi,1syi,pocket_4,"25.961,8.71,75.894",0.47548223
22,1syi,1syi,pocket_5,"20.228,15.908,73.414",2.0834796
23,1syi,1syi,pocket_6,"13.763,8.871,71.492",2.3311365
24,1syi,1syi,pocket_7,"12.177,5.648,52.569",7.002178
25,1syi,1syi,pocket_8,"27.521,5.614,94.604",7.193639
26,1syi,1syi,pocket_9,"4.43,5.651,57.68",2.2013178
27,1syi,1syi,pocket_10,"27.392,20.706,58.6",7.1123867
28,1syi,1syi,pocket_11,"17.764,6.198,68.663",4.296321
29,1syi,1syi,pocket_12,"34.022,5.5,90.756",3.534357
30,3lka,3lka,protein_center,"3.35,0.202,13.733",4.6484194
31,3lka,3lka,pocket_1,"2.329,-0.349,4.248",4.509939
32,3lka,3lka,pocket_2,"-9.559,5.918,12.743",2.3006964
33,3lka,3lka,pocket_3,"-2.61,-14.837,9.893",5.029975
34,3lka,3lka,pocket_4,"5.676,-8.354,22.918",3.6598394
35,3lka,3lka,pocket_5,"-2.664,-19.202,15.659",2.4723263
36,3kgp,3kgp,protein_center,"-28.297,87.619,-1.047",3.4368725
37,3kgp,3kgp,pocket_1,"-26.359,84.533,-10.639",3.5101373
38,3kgp,3kgp,pocket_2,"-46.866,86.791,-2.709",0.9000559
39,3kgp,3kgp,pocket_3,"-15.7,88.824,-9.618",2.8017163
40,3kgp,3kgp,pocket_4,"-10.102,88.148,0.463",1.0539588
41,3kgp,3kgp,pocket_5,"-38.432,73.448,3.131",-0.0017462801
42,3kgp,3kgp,pocket_6,"-44.855,96.382,-12.747",1.8215277
43,1h22,1h22,protein_center,"4.62,64.489,56.374",7.8635464
44,1h22,1h22,pocket_1,"2.117,65.286,66.907",8.457833
45,1h22,1h22,pocket_2,"12.082,49.54,62.236",5.4803553
46,1h22,1h22,pocket_3,"-5.727,82.893,53.346",3.6095624
47,1h22,1h22,pocket_4,"6.238,80.133,64.406",5.68919
48,1h22,1h22,pocket_5,"-18.565,72.706,50.546",2.565726
49,1h22,1h22,pocket_6,"23.713,54.141,54.36",2.4419937
50,1h22,1h22,pocket_7,"20.778,68.4,71.109",2.797884
51,1h22,1h22,pocket_8,"-12.136,65.151,39.597",2.478046
52,1h22,1h22,pocket_9,"25.975,68.053,60.319",3.4268954
53,1h22,1h22,pocket_10,"19.659,79.916,45.424",2.555263
54,1h22,1h22,pocket_11,"-7.802,69.261,56.736",6.29661
55,1uto,1uto,protein_center,"41.445,14.089,43.765",2.625581
56,1uto,1uto,pocket_1,"45.346,19.974,51.131",2.6664562
57,1uto,1uto,pocket_2,"52.5,22.343,39.758",2.861024
58,1uto,1uto,pocket_3,"43.886,24.95,43.506",3.1441755
59,1uto,1uto,pocket_4,"34.424,7.192,53.553",1.1537056
60,1uto,1uto,pocket_5,"23.399,16.331,46.38",-0.00016588448
61,1yc1,1yc1,protein_center,"0.094,30.232,1.767",7.52847
62,1yc1,1yc1,pocket_1,"1.979,34.873,-2.676",7.5440817
63,1yc1,1yc1,pocket_2,"-0.568,16.573,0.209",3.3512692
64,1yc1,1yc1,pocket_3,"-11.041,24.43,-4.865",6.815076
65,1yc1,1yc1,pocket_4,"15.17,25.911,8.555",1.7300763
66,1yc1,1yc1,pocket_5,"-2.025,41.581,5.276",7.645438
67,1yc1,1yc1,pocket_6,"6.075,26.648,19.23",0.42935562
68,3dxg,3dxg,protein_center,"20.117,0.265,20.527",2.6027672
