protein,rmsd,pose_rank_for_rmsd
1a30,3.217771658510365,1
1a30,3.0733986619016456,2
1a30,3.101319073633389,3
1a30,3.2128110036438224,4
1a30,3.20262959000413,5
1bcu,2.199714631820996,1
1bcu,2.8793509559241173,2
1bcu,2.7561455848098375,3
1bcu,2.536931026065753,4
1bcu,2.568687155024866,5
1bzc,1.9875537926690492,1
1bzc,1.9109442298746473,2
1bzc,2.2961715111588314,3
1bzc,1.997742721751955,4
1bzc,2.0571908369875347,5
1c5z,0.9124593078267794,1
1c5z,0.9490224256956641,2
1c5z,0.9450275820884726,3
1c5z,0.9487149425900694,4
1c5z,0.9274510085220014,5
1e66,0.825975860372676,1
1e66,0.8385109368138884,2
1e66,0.8251252134553585,3
1e66,0.8368840825083194,4
1e66,0.8386268994510979,5
1eby,4.676562416124015,1
1eby,4.563928497972617,2
1eby,5.734915004479782,3
1eby,3.3883005386993355,4
1eby,4.319141702026373,5
1gpn,2.1882138268465448,1
1gpn,2.1847907114333083,2
1gpn,2.189310114152145,3
1gpn,2.1890678214378037,4
1gpn,2.1860078415075694,5
1h22,6.178696272321839,1
1h22,6.0980655016511385,2
1h22,5.507590051454275,3
1h22,6.379610688394482,4
1h22,6.096911193104301,5
1h23,6.321153163820307,1
1h23,6.395914485190902,2
1h23,6.249016678920153,3
1h23,6.504738077007021,4
1h23,6.680808383811811,5
1k1i,1.560827678958425,1
1k1i,1.659739234653401,2
1k1i,2.449942725573223,3
1k1i,1.5628365819584409,4
1k1i,2.0760036968822613,5
1lpg,2.342075284794897,1
1lpg,2.47072585046614,2
1lpg,2.4773283410615043,3
1lpg,2.3608024223940878,4
1lpg,2.2598779063778442,5
1mq6,1.6632621370441514,1
1mq6,1.659053726024969,2
1mq6,1.6554506263308912,3
1mq6,1.8474936972835379,4
1mq6,1.9440140358278613,5
1nc1,0.7888499193986909,1
1nc1,0.783633547338238,2
1nc1,0.7866869201508186,3
1nc1,0.7796700715453649,4
1nc1,0.7867549463490822,5
1nc3,0.9795951607134665,1
1nc3,0.9828062655868585,2
1nc3,0.9934824019113223,3
1nc3,0.9920047571421657,4
1nc3,0.9819149572559341,5
1nvq,0.7458626896403733,1
1nvq,0.7555168370543817,2
1nvq,0.7535774440610333,3
1nvq,0.7536684668963813,4
1nvq,0.7458139346120599,5
1o0h,2.250668488095805,1
1o0h,2.374751838485404,2
1o0h,2.3562672558224533,3
1o0h,2.25874493500594,4
1o0h,2.358410394638379,5
1o3f,1.086543187758487,1
1o3f,0.9242648644274347,2
1o3f,1.0772284973923438,3
1o3f,0.8149997587063037,4
1o3f,0.8128785248252294,5
1o5b,0.2904325501645463,1
1o5b,0.29406124587203625,2
1o5b,0.901228613764858,3
1o5b,0.2954999649441032,4
1o5b,0.9014890011748701,5
1owh,1.00187990738074,1
1owh,1.2636688460853325,2
1owh,1.017191167570014,3
1owh,1.0668523894243123,4
1owh,0.6062330733400793,5
1oyt,1.5815583955035297,1
1oyt,1.0551108950741,2
1oyt,1.2666430072390353,3
1oyt,1.6269339387787731,4
1oyt,1.3666334367804618,5
1p1n,1.3665245241009303,1
1p1n,1.3694647367185175,2
1p1n,1.3637755873038762,3
1p1n,1.3652873536510368,4
1p1n,1.3590539375810486,5
1p1q,0.5655320964346923,1
1p1q,0.7259397071853257,2
1p1q,0.7535998202799891,3
1p1q,0.5640651392773639,4
1p1q,0.747627731170344,5
1ps3,0.6766993271495368,1
1ps3,0.704310153192614,2
1ps3,0.6856605822599364,3
1ps3,0.6852832609087713,4
1ps3,0.6752894284634126,5
1pxn,1.106060630638657,1
1pxn,0.46209186858195245,2
1pxn,1.1172750926020836,3
1pxn,0.4672432660599188,4
1pxn,1.1114189841441655,5
1q8t,0.8526153033326418,1
1q8t,0.6670495135818534,2
1q8t,1.3894900970839084,3
1q8t,1.108051667755505,4
1q8t,1.401944452999772,5
1q8u,1.3155865423452093,1
1q8u,1.3101996576895754,2
1q8u,1.3036275625115907,3
1q8u,1.3196450296981745,4
